Generadas,Aprobadas,Condicionadas,Rechazadas,Formalizadas,% de Aprobación,% de Formalizacion,Periodo
5,1,0,4,1,0.2,1.0,"Enero, 24"
6,2,0,4,1,0.3333333333333333,0.5,"Febrero, 24"
11,7,1,4,5,0.6363636363636364,0.7142857142857143,"Marzo, 24"
23,14,0,9,11,0.6086956521739131,0.7857142857142857,"Abril, 24"
26,8,4,14,3,0.3076923076923077,0.375,"Mayo, 24"
43,13,0,22,6,0.3023255813953488,0.4615384615384615,"Junio, 24"
55,30,3,17,17,0.5454545454545454,0.5666666666666667,"Julio, 24"
36,19,0,13,9,0.5277777777777778,0.4736842105263157,"Agosto, 24"
56,26,1,13,7,0.4642857142857143,0.2692307692307692,"Septiembre, 24"
79,31,32,12,14,0.3924050632911392,0.4516129032258064,"Octubre, 24"
76,25,26,25,14,0.3289473684210526,0.56,"Noviembre, 24"
103,39,33,26,17,0.3786407766990291,0.4358974358974359,"Diciembre, 25"
83,30,25,26,19,0.3614457831325301,0.6333333333333333,"Enero, 25"
76,27,18,21,12,0.3552631578947368,0.4444444444444444,"Febrero, 25"
92,31,27,30,20,0.3369565217391304,0.6451612903225806,"Marzo, 25"
59,35,6,16,17,0.5932203389830508,0.4857142857142857,"Abril, 25"
76,40,7,25,19,0.5263157894736842,0.475,"Mayo, 25"
97,46,25,22,25,0.4742268041237113,0.5434782608695652,"Junio, 25"
104,41,22,33,21,0.3942307692307692,0.5121951219512195,"Julio, 25"
99,27,22,44,13,0.2727272727272727,0.4814814814814814,"Agosto, 25"
127,43,32,49,25,0.3385826771653543,0.5813953488372093,"Septiembre, 25"
136,51,22,62,25,0.375,0.4901960784313725,"Octubre, 25"
118,49,32,36,24,0.4152542372881356,0.4897959183673469,"Noviembre, 25"
111,31,49,28,14,0.2792792792792792,0.4516129032258064,"Diciembre, 25"
113,37,34,36,21,0.3274336283185841,0.5675675675675675,"Enero, 26"
83,37,21,25,17,0.4457831325301205,0.4594594594594595,"Febrero, 26"
85,41,14,30,18,0.4823529411764706,0.4390243902439024,"Marzo, 26"
74,42,16,16,16,0.5675675675675675,0.3809523809523809,"Abril, 26"
95,44,17,30,19,0.4631578947368421,0.4318181818181818,"Mayo,26"
82,35,10,33,13,0.4268292682926829,0.3714285714285714,"Junio, 26"
32,12,9,9,4,0.375,0.3333333333333333,"Julio,26"
